select * from DIRECTORIO.CEMI.GPWA200 
where id_unidad in (select distinct  ID_AREA_JM_OOAA from DIRECTORIO.CEMI.GPWA200 )
ID_UNIDAD;DEPENDENCIA;DENOMINACION;DEN_ABREVIADA;ID_UNIDAD_PADRE;FUNCIONAL;EMAIL;EMAIL_VER;TIPO_NUDO;FCH_ALTA;FCH_EFECTO;CLS_VIAL;NOM_VIAL;NOM_APP;NUM_APP;CAL_APP;COD_POSTAL;PAIS;POBLACION;PROVINCIA;MUNICIPIO;NUM_ORDEN;DOMICILIO;COD_INTERNO;COD_PADRE;FCH_ACTUALIZ;CENTRO_TRABAJO;DESC_ADICIONAL;ID_AREA_JM_OOAA;TIPO_UNIDAD;SUBTIPO_UNIDAD;VISIBILIDAD;PRIOX
10000023;40;ALCALDIA;AL ALCALDIA;10000001;91201;;;;1985-07-10 00:00:00;2004-01-01 00:00:00;CALLE;MONTALBAN;NUM;000001;;28014;ESPAÑA;MADRID;MADRID;MADRID;0;CL MONTALBAN NUM 1                 28014;23;1;2018-03-08 00:00:00;70200425;ALCALDIA;10000023;04;(null);S;14
10009240;96;AGENCIA PARA EL EMPLEO;AGENCIA PARA EL EMPLEO;10000000;24100;;;;2005-07-22 00:00:00;2010-09-30 00:00:00;PASEO;PONTONES;NUM;000010;;28005;ESPAÑA;MADRID;MADRID;MADRID;0;PS PONTONES NUM 10                 28005;9240;0;2018-03-08 00:00:00;70200200;AGENCIA PARA EL EMPLEO;10009240;18;(null);S;57
10000009;08;JUNTA MUNICIPAL DEL DISTRITO DE FUENCARRAL-EL PARDO;FUE JMD FUENCARRAL;10000001;91220;;;;1983-12-01 00:00:00;2004-01-01 00:00:00;AVENIDA;MONFORTE DE LEMOS;NUM;000040;;28029;ESPAÑA;MADRID;MADRID;MADRID;0;AV MONFORTE DE LEMOS NUM 40        28029;9;1;2018-03-08 00:00:00;70000322;JUNTA MUNICIPAL DEL DISTRITO DE FUENCARRAL-EL PARDO;10000009;10;(null);S;08
10002969;86;CONSORCIOS;OM CONSORCIOS;10000000;;;;;1991-06-24 00:00:00;1991-06-24 00:00:00;;;;;;;ESPAÑA;;MADRID;MADRID;0;;2969;0;2018-03-08 00:00:00;(null);CONSORCIOS;10000000;20;(null);S;34
10212975;CO_10212975;GRUPO MUNICIPAL AHORA MADRID;GM GRUPO MUNICIPAL AHORA M;10000028;;;;;2015-06-13 00:00:00;2015-06-13 00:00:00;CALLE;MAYOR;NUM;000071;;28013;ESPAÑA;MADRID;MADRID;MADRID;0;CL MAYOR NUM 71                    28013;212975;28;2018-03-08 00:00:00;70200278;GRUPO MUNICIPAL AHORA MADRID;10212975;03;(null);S;  
10205550;97;AGENCIA DE ACTIVIDADES;AGENCIA DE ACTIVIDADES;10000000;15109;;;;2010-02-25 00:00:00;2014-11-13 00:00:00;CALLE;BUSTAMANTE;NUM;000016;;28045;ESPAÑA;MADRID;MADRID;MADRID;0;CL BUSTAMANTE NUM 16               28045;205550;0;2018-03-08 00:00:00;70000601;AGENCIA DE ACTIVIDADES;10205550;18;(null);S;59
10000003;02;JUNTA MUNICIPAL DEL DISTRITO DE ARGANZUELA;ARG JMD ARGANZUELA;10000001;91220;jmarganzuela@madrid.es;S;;1984-01-01 00:00:00;2004-01-01 00:00:00;PASEO;CHOPERA;NUM;000010;;28045;ESPAÑA;MADRID;MADRID;MADRID;0;PS CHOPERA NUM 10                  28045;3;1;2018-03-08 00:00:00;70000250;JUNTA MUNICIPAL DEL DISTRITO DE ARGANZUELA;10000003;10;(null);S;02
10000072;352;GRUPO MUNICIPAL SOCIALISTA DE MADRID;GM GRUPO MUNICIPAL SOCIALI;10000028;;grupopsoe@madrid.es;S;;1989-06-29 00:00:00;2015-06-13 00:00:00;CALLE;MAYOR;NUM;000071;;28013;ESPAÑA;MADRID;MADRID;MADRID;0;CL MAYOR NUM 71                    28013;72;28;2018-03-08 00:00:00;70200278;GRUPO MUNICIPAL SOCIALISTA DE MADRID;10000072;03;(null);S;02
10000020;19;JUNTA MUNICIPAL DEL DISTRITO DE VICALVARO;VIC JMD VICALVARO;10000001;91220;;;;1989-01-02 00:00:00;2004-01-01 00:00:00;PLAZA;DON ANTONIO DE ANDRES;S/N;000000;;28032;ESPAÑA;MADRID;MADRID;MADRID;0;PZ DON ANTONIO DE ANDRES S/N       28032;20;1;2018-03-08 00:00:00;70000525;JUNTA MUNICIPAL DEL DISTRITO DE VICALVARO;10000020;10;(null);S;0J
10007786;46G;TRIBUNAL ECONOMICO ADMINISTRATIVO MUNICIPAL;AGH TRIB EC. ADTVO.MUNPAL;10004708;93201;teamm@madrid.es;S;;2004-09-01 00:00:00;2005-01-01 00:00:00;CALLE;MAYOR;NUM;000083;;28013;ESPAÑA;MADRID;MADRID;MADRID;0;CL MAYOR NUM 83                    28013;7786;4708;2018-03-08 00:00:00;70000030;TRIBUNAL ECONOMICO ADMINISTRATIVO MUNICIPAL;10007786;17;(null);S;06
10212878;CO_10212878;AREA DE GOBIERNO DE PARTICIPACION CIUDADANA, TRANSPARENCIA Y;AGP PART. CIUDNA. TRANSP.;10000001;;ag.gobiernoabierto@madrid.es;S;;2015-06-13 00:00:00;2015-06-13 00:00:00;CALLE;ALCALA;NUM;000045;;28014;ESPAÑA;MADRID;MADRID;MADRID;0;CL ALCALA NUM 45                   28014;212878;1;2018-03-08 00:00:00;70000230;AREA DE GOBIERNO DE PARTICIPACION CIUDADANA, TRANSPARENCIA Y GOBIERNO ABIERTO;10212878;07;(null);S;20
10002966;81;SOCIEDADES MERCANTILES LOCALES;SOCIEDADES MERCANTILES LOC;10000000;;;;;1901-01-01 00:00:00;2006-10-31 00:00:00;;;;;;;ESPAÑA;;MADRID;MADRID;0;;2966;0;2018-03-08 00:00:00;(null);SOCIEDADES MERCANTILES LOCALES;10000000;44;(null);S;29
10000006;05;JUNTA MUNICIPAL DEL DISTRITO DE CHAMARTIN;CHM JMD CHAMARTIN;10000001;91220;;;;1901-01-01 00:00:00;2004-01-01 00:00:00;CALLE;PRINCIPE DE VERGARA;NUM;000142;;28002;ESPAÑA;MADRID;MADRID;MADRID;0;CL PRINCIPE DE VERGARA NUM 142     28002;6;1;2018-03-08 00:00:00;70000571;JUNTA MUNICIPAL DEL DISTRITO DE CHAMARTIN;10000006;10;(null);S;05
10000012;11;JUNTA MUNICIPAL DEL DISTRITO DE CARABANCHEL;CAR JMD CARABANCHEL;10000001;91220;jmcarabanchel@madrid.es;S;;1984-01-01 00:00:00;2004-01-01 00:00:00;PLAZA;CARABANCHEL;NUM;000001;;28025;ESPAÑA;MADRID;MADRID;MADRID;0;PZ CARABANCHEL NUM 1               28025;12;1;2018-03-08 00:00:00;70000651;JUNTA MUNICIPAL DEL DISTRITO DE CARABANCHEL;10000012;10;(null);S;0B
10004191;84;ENTIDADES SOCIOLABORALES;ENTIDADES SOCIOLABORALES;10000000;;;;;1994-10-18 00:00:00;2015-09-02 00:00:00;;;;;;;ESPAÑA;;MADRID;MADRID;0;;4191;0;2018-03-08 00:00:00;(null);ENTIDADES SOCIOLABORALES;10000000;47;(null);S;32
10000021;20;JUNTA MUNICIPAL DEL DISTRITO DE SAN BLAS CANILLEJAS;SBC JMD SAN BLAS CANILLEJA;10000001;91220;jmsanblas@madrid.es;S;;1989-01-02 00:00:00;2012-10-16 00:00:00;AVENIDA;ARCENTALES;NUM;000028;;28022;ESPAÑA;MADRID;MADRID;MADRID;0;AV ARCENTALES NUM 28               28022;21;1;2018-03-08 00:00:00;70000648;JUNTA MUNICIPAL DEL DISTRITO DE SAN BLAS CANILLEJAS;10000021;10;(null);S;0K
10000027;44;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;AGM MEDIO AMBIENTE Y MOVIL;10000001;;;;;1989-07-28 00:00:00;2013-01-10 00:00:00;PASEO;RECOLETOS;NUM;000012;;28001;ESPAÑA;MADRID;MADRID;MADRID;0;PS RECOLETOS NUM 12                28001;27;1;2018-03-08 00:00:00;70000263;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;10000027;07;(null);S;22
10008142;91;AGENCIA TRIBUTARIA MADRID;AGENCIA TRIBUTARIA MADRID;10000000;93200;;;;2005-01-01 00:00:00;2005-01-01 00:00:00;CALLE;SACRAMENTO;NUM;000003;;28005;ESPAÑA;MADRID;MADRID;MADRID;0;CL SACRAMENTO NUM 3                28005;8142;0;2018-03-08 00:00:00;70200451;AGENCIA TRIBUTARIA MADRID;10008142;18;(null);S;45
10212879;CO_10212879;GRUPO MUNICIPAL CIUDADANOS - PARTIDO DE LA CIUDADANIA;GM GRUPO MUNICIPAL (C's)-P;10000028;;;;;2015-06-13 00:00:00;2015-06-13 00:00:00;CALLE;MAYOR;NUM;000071;;28013;ESPAÑA;MADRID;MADRID;MADRID;0;CL MAYOR NUM 71                    28013;212879;28;2018-03-08 00:00:00;70200278;GRUPO MUNICIPAL CIUDADANOS - PARTIDO DE LA CIUDADANIA;10212879;03;(null);S;  
10000015;14;JUNTA MUNICIPAL DEL DISTRITO DE MORATALAZ;MOR JMD MORATALAZ;10000001;91220;;;;1989-01-02 00:00:00;2004-01-01 00:00:00;CALLE;FUENTE CARRANTONA;NUM;000008;;28030;ESPAÑA;MADRID;MADRID;MADRID;0;CL FUENTE CARRANTONA NUM 8         28030;15;1;2018-03-08 00:00:00;70000595;JUNTA MUNICIPAL DEL DISTRITO DE MORATALAZ;10000015;10;(null);S;0E
10008173;94;INFORMATICA DEL AYUNTAMIENTO DE MADRID;INFORMATICA AYTO. MADRID;10000000;49101;;;;2005-01-01 00:00:00;2005-01-01 00:00:00;CALLE;ALBARRACIN;NUM;000033;;28037;ESPAÑA;MADRID;MADRID;MADRID;0;CL ALBARRACIN NUM 33               28037;8173;0;2018-03-08 00:00:00;70000631;INFORMATICA DEL AYUNTAMIENTO DE MADRID;10008173;18;(null);S;53
10000001;0;AYUNTAMIENTO DE MADRID;AYUNTAMIENTO DE MADRID;10000000;;;;R;1991-11-12 00:00:00;1991-11-12 00:00:00;;;;;;;;;;;0;;1;0;2018-03-08 00:00:00;(null);AYUNTAMIENTO DE MADRID;10000000;00;(null);S;  
10000007;06;JUNTA MUNICIPAL DEL DISTRITO DE TETUAN;TET JMD TETUAN;10000001;91220;;;;1970-03-02 00:00:00;2004-01-01 00:00:00;CALLE;BRAVO MURILLO;NUM;000357;;28020;ESPAÑA;MADRID;MADRID;MADRID;0;CL BRAVO MURILLO NUM 357           28020;7;1;2018-03-08 00:00:00;70000297;JUNTA MUNICIPAL DEL DISTRITO DE TETUAN;10000007;10;(null);S;06
10000018;17;JUNTA MUNICIPAL DEL DISTRITO DE VILLAVERDE;VIL JMD VILLAVERDE;10000001;91220;;;;1989-01-02 00:00:00;2004-01-01 00:00:00;CALLE;ARROYO BUENO;NUM;000053;;28021;ESPAÑA;MADRID;MADRID;MADRID;0;CL ARROYO BUENO NUM 53             28021;18;1;2018-03-08 00:00:00;70000500;JUNTA MUNICIPAL DEL DISTRITO DE VILLAVERDE;10000018;10;(null);S;0H
10212876;CO_10212876;AREA DE GOBIERNO DE COORDINACION TERRITORIAL Y COOPERACION P;AGC COORD TERRITORIAL Y CO;10000001;;;;;2015-06-13 00:00:00;2017-04-06 00:00:00;CALLE;MONTALBAN;NUM;000001;;28014;ESPAÑA;MADRID;MADRID;MADRID;0;CL MONTALBAN NUM 1                 28014;212876;1;2018-03-08 00:00:00;70200425;AREA DE GOBIERNO DE COORDINACION TERRITORIAL Y COOPERACION PUBLICO-SOCIAL;10212876;07;(null);S;16
10003711;68;AREA DE GOBIERNO DE CULTURA Y DEPORTES;AGA DE CULTURA Y DEPORTES;10000001;;;;;1991-12-19 00:00:00;2015-06-13 00:00:00;CALLE;MONTALBAN;NUM;000001;;28014;ESPAÑA;MADRID;MADRID;MADRID;0;CL MONTALBAN NUM 1                 28014;3711;1;2018-03-08 00:00:00;70200425;AREA DE GOBIERNO DE CULTURA Y DEPORTES;10003711;07;(null);S;23
10002972;89;OTRAS ENTIDADES DE PARTICIPACION MUNICIPAL;OM OTRAS ENTIDADES;10000000;;;;;1991-06-24 00:00:00;1991-06-24 00:00:00;;;;;;;ESPAÑA;;MADRID;MADRID;0;;2972;0;2018-03-08 00:00:00;(null);OTRAS ENTIDADES DE PARTICIPACION MUNICIPAL;10000000;20;(null);S;37
10000004;03;JUNTA MUNICIPAL DEL DISTRITO DE RETIRO;RET JMD RETIRO;10000001;91220;;;;1901-01-01 00:00:00;2004-01-01 00:00:00;AVENIDA;CIUDAD DE BARCELONA;NUM;000164;;28007;ESPAÑA;MADRID;MADRID;MADRID;0;AV CIUDAD DE BARCELONA NUM 164     28007;4;1;2018-03-08 00:00:00;70000255;JUNTA MUNICIPAL DEL DISTRITO DE RETIRO;10000004;10;(null);S;03
10000019;18;JUNTA MUNICIPAL DEL DISTRITO DE VILLA DE VALLECAS;VAV JMD VILLA DE VALLECAS;10000001;91220;;;;1989-01-02 00:00:00;2004-01-01 00:00:00;PASEO;FEDERICO GARCIA LORCA;NUM;000012;;28031;ESPAÑA;MADRID;MADRID;MADRID;0;PS FEDERICO GARCIA LORCA NUM 12    28031;19;1;2018-03-08 00:00:00;70000519;JUNTA MUNICIPAL DEL DISTRITO DE VILLA DE VALLECAS;10000019;10;(null);S;0I
10000073;351;GRUPO MUNICIPAL PARTIDO POPULAR;GM GRUPO MUNICIPAL P.P.;10000028;;grupopp@madrid.es;S;;1989-06-29 00:00:00;2005-01-01 00:00:00;CALLE;MAYOR;NUM;000071;;28013;ESPAÑA;MADRID;MADRID;MADRID;0;CL MAYOR NUM 71                    28013;73;28;2018-03-08 00:00:00;70200278;GRUPO MUNICIPAL PARTIDO POPULAR;10000073;03;(null);S;01
10207375;36;PRESIDENCIA  DEL PLENO;PP PRESIDENCIA  PLENO;10000001;91216;;;;2011-06-11 00:00:00;2011-06-11 00:00:00;PLAZA;VILLA;NUM;000004;;28005;ESPAÑA;MADRID;MADRID;MADRID;0;PZ VILLA NUM 4                     28005;207375;1;2018-03-08 00:00:00;70000212;PRESIDENCIA  DEL PLENO;10207375;59;(null);S;0Z
10000013;12;JUNTA MUNICIPAL DEL DISTRITO DE USERA;USE JMD USERA;10000001;91220;;;;1989-01-02 00:00:00;2004-01-01 00:00:00;AVENIDA;RAFAELA YBARRA;NUM;000041;;28026;ESPAÑA;MADRID;MADRID;MADRID;0;AV RAFAELA YBARRA NUM 41           28026;13;1;2018-03-08 00:00:00;70000578;JUNTA MUNICIPAL DEL DISTRITO DE USERA;10000013;10;(null);S;0C
